,,,,,,,,
,,,,,,,,
,Monthly retail sales of grocery stores in Canada 2015-2021,,,,,,,
,Monthly retail sales of grocery stores in Canada from January 2015 to December 2021 (in billion Canadian dollars),,,,,,,
,,2015,2016,2017,2018,2019,2020,2021
,Jan,7.13,7.33,7.60,7.59,8,7.65,9.27
,Feb,7.19,7.33,7.64,7.61,8.14,8.15,9.15
,Mar,7.32,7.35,7.61,7.65,8.05,10.23,9.07
,Apr,7.24,7.40,7.59,7.76,8.15,9.43,9.08
,May,7.25,7.48,7.71,7.83,8.04,9.13,9.15
,Jun,7.26,7.43,7.69,7.86,8.02,9.05,8.88
,Jul,7.26,7.38,7.74,7.93,8.13,8.89,8.50
,Aug,7.29,7.49,7.63,7.97,8.05,8.89,8.90
,Sep,7.32,7.43,7.59,8.19,8.14,8.90,9.02
,Oct,7.19,7.48,7.65,7.99,8.10,8.99,8.91
,Nov,7.41,7.47,7.59,7.87,8.11,9.33,9.02
,Dec,7.32,7.38,7.68,7.93,8.25,9.08,8.96
,,,,,,,,
,Total,80.05,81.62,84.12,86.59,89.18,100.07,98.64
