"REF_DATE","GEO","DGUID","Products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.90","","","","2"
"2012-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","13.91","","","","2"
"2012-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.10","","","","2"
"2012-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.11","","","","2"
"2012-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.32","","","","2"
"2012-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.09","","","","2"
"2012-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.18","","","","2"
"2012-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.31","","","","2"
"2012-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.20","","","","2"
"2012-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.21","","","","2"
"2012-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.17","","","","2"
"2012-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.03","","","","2"
"2013-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.19","","","","2"
"2013-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.37","","","","2"
"2013-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.29","","","","2"
"2013-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.30","","","","2"
"2013-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.38","","","","2"
"2013-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.33","","","","2"
"2013-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.37","","","","2"
"2013-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.53","","","","2"
"2013-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.34","","","","2"
"2013-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.36","","","","2"
"2013-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.77","","","","2"
"2013-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.57","","","","2"
"2014-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","14.59","","","","2"
"2014-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","15.59","","","","2"
"2014-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","15.73","","","","2"
"2014-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.01","","","","2"
"2014-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.39","","","","2"
"2014-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.49","","","","2"
"2014-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.36","","","","2"
"2014-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","16.46","","","","2"
"2014-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.57","","","","2"
"2014-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.51","","","","2"
"2014-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.71","","","","2"
"2014-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.08","","","","2"
"2015-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.34","","","","2"
"2015-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.41","","","","2"
"2015-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.57","","","","2"
"2015-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.85","","","","2"
"2015-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.87","","","","2"
"2015-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.09","","","","2"
"2015-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.12","","","","2"
"2015-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.91","","","","2"
"2015-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.05","","","","2"
"2015-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.32","","","","2"
"2015-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.10","","","","2"
"2015-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.64","","","","2"
"2016-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.76","","","","2"
"2016-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.24","","","","2"
"2016-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.70","","","","2"
"2016-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.14","","","","2"
"2016-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","19.05","","","","2"
"2016-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.31","","","","2"
"2016-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.39","","","","2"
"2016-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.32","","","","2"
"2016-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.85","","","","2"
"2016-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.08","","","","2"
"2016-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.82","","","","2"
"2016-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.47","","","","2"
"2017-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.67","","","","2"
"2017-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.85","","","","2"
"2017-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.70","","","","2"
"2017-04","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.86","","","","2"
"2017-05","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.14","","","","2"
"2017-06","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.18","","","","2"
"2017-07","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.37","","","","2"
"2017-08","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.02","","","","2"
"2017-09","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.62","","","","2"
"2017-10","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.59","","","","2"
"2017-11","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.83","","","","2"
"2017-12","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.15","","","","2"
"2018-01","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.78","","","","2"
"2018-02","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","18.07","","","","2"
"2018-03","Canada","2016A000011124","Round steak, 1 kilogram","Dollars","81","units","0","v735165","1.1","17.89","","","","2"
