REF_DATE,"Apple juice, 1.36 litres","Apples, 1 kilogram","Baby food, 128 millilitres","Bacon, 500 grams","Baked beans, canned, 398 millilitres","Bananas, 1 kilogram",Bathroom tissue (4 rolls),"Blade roast, 1 kilogram","Bread, 675 grams","Butter, 454 grams","Canned salmon, 213 grams","Carrots, 1 kilogram","Chicken, 1 kilogram",Cigarettes (200),"Coffee, instant, 200 grams","Coffee, roasted, 300 grams","Cooking or salad oil, 1 litre","Corn flakes, 675 grams","Deodorant, 60 grams","Eggs, 1 dozen","Evaporated milk, 385 millilitres",Facial tissue (200 tissues),"Flour, 2.5 kilograms","French fried potatoes, frozen, 1 kilogram","Ground beef, 1 kilogram","Homogenized milk, 4 litres","Ketchup, 1 litre","Macaroni, 500 grams","Mushrooms, 1 kilogram","Onions, 1 kilogram","Orange juice, 1 litre","Oranges, 1 kilogram",Paper towels (2 rolls),"Partly skimmed milk, 4 litres","Peanut butter, 500 grams","Pork chops, 1 kilogram","Potatoes, 4.54 kilograms","Prime rib roast, 1 kilogram","Processed cheese slices, 250 grams","Regular, unleaded gasoline at self-service stations, cents per litre","Round steak, 1 kilogram","Shampoo, 300 millilitres","Sirloin steak, 1 kilogram","Soda crackers, 450 grams","Soup, canned, 284 millilitres","Stewing beef, 1 kilogram","Sugar, white, 2 kilograms",Tea (72 bags),"Tomato juice, 1.36 litres","Tomatoes, canned, 796 millilitres","Toothpaste, 100 millilitres","Wieners, 450 grams"
2012-01,62,1,67,52,39,49,77,40,6,31,32,41,94,22,10,58,10,16,53,5,63,91,41,80,41,90,82,26,41,78,27,80,43,2,83,83,28,92,72,54,42,94,38,96,49,16,56,34,22,10,5,41
2012-02,76,89,79,49,95,2,47,3,86,24,52,52,83,66,67,82,0,91,58,49,12,52,92,98,80,11,85,14,85,5,53,84,75,52,29,87,87,81,98,90,93,46,81,38,87,99,23,17,87,76,1,5
2012-03,65,4,33,7,50,10,20,85,97,24,30,33,68,10,69,54,84,30,13,9,80,44,10,23,21,15,29,10,34,80,46,40,39,68,98,12,63,65,15,42,77,33,98,15,51,25,17,14,57,13,18,39
2012-04,7,62,9,99,31,51,64,12,23,31,72,3,49,48,16,18,54,98,5,18,87,20,66,15,34,16,86,63,95,8,33,82,98,88,35,69,35,50,67,0,97,12,32,78,79,45,56,30,87,10,16,88
2012-05,66,90,84,6,43,21,10,57,80,37,33,74,2,58,6,72,51,48,4,39,80,49,80,87,54,15,33,83,23,57,98,80,49,78,94,70,98,98,33,69,72,20,93,97,0,15,26,79,23,11,53,16
2012-06,47,76,98,82,77,8,27,11,55,27,6,92,88,73,91,50,75,77,48,37,45,70,54,85,37,77,6,19,85,11,26,70,20,72,42,43,53,41,18,18,79,3,44,80,48,53,43,37,86,18,10,42
2012-07,36,88,91,91,44,20,97,49,20,27,45,60,39,74,40,51,49,38,1,18,68,46,39,30,28,10,30,54,8,48,95,20,40,78,30,80,71,53,80,77,82,82,6,45,80,76,92,58,78,93,68,18
2012-08,70,67,54,66,94,2,57,33,83,48,39,83,34,91,17,72,17,45,62,67,84,91,66,98,44,61,97,94,80,36,11,49,53,46,52,55,22,52,53,71,62,51,52,56,28,23,86,72,4,14,19,73
2012-09,72,11,71,76,42,56,64,28,93,26,90,54,27,32,19,53,98,7,49,82,25,97,55,11,49,58,82,28,40,33,91,43,87,29,2,71,65,41,85,27,63,76,24,3,1,35,97,73,65,3,78,13
2012-10,31,70,54,76,0,6,50,9,7,74,79,44,31,88,18,52,54,40,39,35,40,84,12,0,51,67,28,44,60,67,6,9,17,17,49,21,40,37,17,64,26,62,79,46,74,41,29,43,11,74,45,77
2012-11,18,34,76,62,69,3,80,85,61,27,50,12,5,37,17,53,81,21,63,39,40,30,35,90,28,2,95,37,26,40,45,28,17,56,14,67,12,48,13,86,22,63,85,29,8,43,49,94,55,28,9,2
2012-12,21,1,64,47,76,72,70,64,8,21,88,23,87,66,72,48,73,2,5,47,3,62,93,68,57,87,42,13,26,66,95,94,4,32,1,53,88,52,45,75,77,60,28,2,8,45,44,48,65,5,33,26
2013-01,18,84,58,8,9,64,37,19,6,59,81,52,53,13,42,93,14,66,6,16,90,35,66,8,68,63,33,25,85,56,36,7,85,8,23,70,6,31,82,1,3,82,6,57,21,23,47,46,74,62,2,3
2013-02,38,71,50,53,89,28,58,77,32,9,84,89,69,91,48,87,88,12,89,81,34,83,96,8,75,88,65,18,73,5,22,83,85,54,67,61,9,41,16,93,17,18,34,86,31,80,60,51,10,30,86,87
2013-03,30,88,73,38,72,69,84,35,87,64,95,31,11,31,53,18,8,2,23,5,84,10,37,8,46,54,18,24,50,7,68,75,18,21,71,33,7,69,19,38,84,97,64,83,86,23,11,48,48,38,80,67
2013-04,47,91,96,83,81,53,20,76,50,30,54,61,47,50,41,81,86,19,83,20,60,77,8,89,56,73,14,70,38,47,27,19,43,30,76,11,28,51,20,27,82,99,21,23,69,31,84,74,30,31,35,97
2013-05,4,95,61,56,47,57,65,83,85,2,39,14,38,19,13,46,86,19,32,5,95,48,13,72,82,79,90,10,61,69,33,80,81,67,72,40,67,5,44,38,42,98,37,83,5,15,8,45,10,1,55,2
2013-06,51,58,23,31,84,62,48,75,18,58,23,41,15,48,18,33,53,80,98,28,79,53,20,94,54,40,80,78,50,37,19,42,31,94,43,80,76,27,52,62,96,11,36,16,14,94,12,86,9,99,67,74
2013-07,43,9,21,55,80,36,95,90,65,40,57,56,11,70,33,34,53,30,79,21,6,94,96,36,1,37,93,4,64,30,30,66,0,98,95,39,60,67,98,57,18,54,78,70,16,12,34,17,80,56,15,34
2013-08,46,70,56,72,83,33,61,27,99,37,11,48,90,42,78,72,31,96,31,2,88,86,94,94,21,77,39,59,79,91,21,45,19,15,73,43,91,65,46,96,71,21,19,16,95,50,87,28,22,79,65,91
2013-09,82,2,26,98,70,65,76,80,56,95,1,82,65,66,12,57,90,67,7,6,89,51,79,86,1,40,53,95,76,87,15,45,52,24,95,50,89,12,12,15,83,28,82,62,7,19,48,29,5,91,20,31
2013-10,98,98,26,19,44,80,24,85,19,42,32,24,73,40,63,37,37,88,36,82,3,60,7,69,22,97,67,67,73,41,4,33,94,42,7,4,20,10,19,48,47,4,89,57,42,89,63,2,72,78,92,41
2013-11,51,12,5,73,4,4,75,42,76,72,92,73,2,20,90,95,56,67,62,74,52,0,27,5,64,35,71,24,10,41,78,56,34,95,57,70,20,22,15,27,43,62,32,21,72,18,71,76,29,89,94,17
2013-12,65,10,17,53,28,90,4,20,13,0,68,99,37,72,58,91,84,32,28,72,10,35,17,45,88,32,18,79,32,92,18,41,42,58,4,58,50,1,94,39,83,93,69,99,18,77,28,38,18,78,52,94
2014-01,79,27,35,8,45,38,36,82,69,11,69,96,91,56,61,30,85,92,91,25,39,84,42,98,56,53,85,28,63,96,6,77,70,42,6,87,20,22,84,81,18,28,83,40,42,74,62,51,36,88,56,61
2014-02,52,43,62,53,61,66,86,51,64,50,2,73,33,86,45,22,89,51,47,10,92,54,69,7,85,23,61,8,10,90,53,5,96,66,60,72,56,80,42,18,94,19,32,18,78,27,33,4,34,51,39,38
2014-03,3,81,32,48,64,10,38,72,58,10,58,30,54,47,39,96,15,99,11,16,76,81,85,47,97,30,42,46,70,7,74,51,98,29,55,61,70,47,89,26,79,30,4,3,56,17,98,93,56,92,4,97
2014-04,48,35,50,30,64,37,5,90,20,34,16,57,18,22,83,99,31,3,69,95,47,49,37,76,30,19,36,12,67,12,20,85,46,95,41,2,68,42,30,48,13,2,17,78,26,86,78,63,4,36,13,6
2014-05,22,30,21,38,13,57,6,61,81,29,90,57,6,57,47,41,17,31,1,18,80,23,80,93,50,11,2,65,39,11,60,94,70,34,61,82,53,12,20,7,24,11,70,32,26,78,62,12,35,91,59,75
2014-06,50,60,10,21,64,56,32,11,5,45,19,26,17,55,68,5,9,29,71,1,16,82,69,12,15,41,44,86,42,95,92,62,12,57,54,54,6,63,92,38,4,99,18,88,7,38,16,38,51,60,0,71
2014-07,61,58,40,34,39,32,64,16,48,5,3,32,84,5,33,7,73,40,70,88,79,25,43,85,72,93,28,24,54,32,85,37,13,13,24,11,15,14,34,63,98,82,8,7,34,59,25,55,41,81,9,54
2014-08,67,75,49,71,45,25,14,21,76,97,58,35,87,36,47,55,9,25,4,4,69,80,14,85,94,30,29,69,11,88,40,81,26,26,68,18,12,80,14,93,57,84,67,82,86,75,32,54,78,18,92,62
2014-09,10,6,88,44,6,98,60,20,27,74,16,6,93,91,90,57,41,16,85,32,34,26,38,87,48,33,10,46,64,64,93,85,81,91,35,7,67,62,61,49,59,58,32,27,89,50,53,64,99,69,42,57
2014-10,69,34,11,36,95,9,50,7,24,56,81,80,94,39,38,71,89,57,1,73,0,48,64,98,13,79,10,28,57,17,96,33,51,82,6,30,49,2,59,41,48,10,97,22,62,98,62,83,37,39,93,64
2014-11,20,75,57,31,73,90,66,66,7,26,54,49,69,74,72,84,96,52,87,21,6,56,51,76,62,0,1,78,72,33,61,40,27,73,21,93,56,4,69,80,40,27,8,16,41,81,51,0,55,99,81,50
2014-12,78,74,96,13,50,6,69,35,91,32,35,38,60,56,69,37,16,50,25,10,54,44,51,92,1,89,29,45,51,42,0,19,86,10,16,88,51,76,44,19,65,84,71,1,99,16,28,71,6,46,34,44
2015-01,15,44,92,80,90,45,99,67,57,65,70,10,10,2,82,49,95,86,93,12,59,93,18,50,14,19,31,65,7,96,50,33,31,10,67,34,81,27,58,23,25,8,17,14,85,33,16,26,61,96,22,29
2015-02,5,18,39,43,77,43,88,7,15,88,13,36,81,10,93,48,4,35,95,24,52,77,52,32,6,28,41,20,64,68,48,75,33,85,86,13,30,4,57,84,89,3,28,97,71,51,74,34,17,50,23,84
2015-03,71,97,87,45,81,98,52,60,69,94,53,50,27,13,37,95,82,16,23,66,19,80,88,95,10,58,31,6,61,17,26,73,28,48,2,90,50,75,24,62,48,29,37,39,80,74,56,75,3,49,37,95
2015-04,61,1,31,27,82,59,21,66,31,93,86,14,61,36,34,62,36,58,47,33,90,33,85,98,79,41,70,31,44,50,48,36,53,56,54,83,82,32,46,48,28,5,66,52,73,46,40,19,15,93,36,21
2015-05,56,70,75,3,87,45,62,6,71,36,72,26,2,51,41,15,57,51,75,96,2,59,12,18,76,76,98,17,94,17,75,40,99,68,75,27,68,74,13,39,75,86,25,55,40,15,11,14,36,13,49,60
